,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
0,North America,"1,346,379","+27,342","79,376","+2,602","247,749","1,019,254","17,420",,,,,North America
1,Europe,"1,493,972","+24,061","144,103","+1,960","568,522","781,347","16,507",,,,,Europe
2,Asia,"587,017","+14,178","20,430",+352,"315,845","250,742","5,281",,,,,Asia
3,South America,"236,692","+12,418","11,979",+711,"82,346","142,367","9,950",,,,,South America
4,Africa,"50,166","+2,091","1,917",+69,"16,977","31,272",128,,,,,Africa
5,Oceania,"8,439",+25,116,+1,"7,284","1,039",29,,,,,Australia/Oceania
6,,721,,15,,645,61,4,,,,,
7,World,"3,723,386","+80,115","257,936","+5,695","1,239,368","2,226,082","49,319",478,33.1,,,All
8,USA,"1,236,819","+23,984","72,205 ","+2,284","199,684","964,930","16,175","3,737",218,"7,697,091","23,254",North America
9,Spain,"250,561","+2,260","25,613 ",+185,"154,718","70,230","2,254","5,359",548,"1,932,455","41,332",Europe
10,Italy,"213,013","+1,075","29,315 ",+236,"85,231","98,467","1,427","3,523",485,"2,246,666","37,158",Europe
11,UK,"194,990","+4,406","29,427 ",+693,N/A,"165,219","1,559","2,872",433,"1,383,842","20,385",Europe
12,France,"170,551","+1,089","25,531 ",+330,"52,736","92,284","3,430","2,613",391,"1,100,228","16,856",Europe
13,Germany,"167,007",+855,"6,993 ",,"135,100","24,914","1,937","1,993",83,"2,547,052","30,400",Europe
14,Russia,"155,370","+10,102","1,451 ",+95,"19,865","134,054","2,300","1,065",10,"4,460,357","30,564",Europe
15,Turkey,"129,491","+1,832","3,520 ",+59,"73,285","52,686","1,338","1,535",42,"1,204,421","14,281",Asia
16,Brazil,"114,715","+6,449","7,921 ",+578,"48,221","58,573","8,318",540,37,"339,552","1,597",South America
17,Iran,"99,970","+1,323","6,340 ",+63,"80,475","13,155","2,685","1,190",75,"519,543","6,186",Asia
18,Canada,"62,038","+1,266","4,039 ",+185,"26,938","31,061",557,"1,644",107,"919,368","24,359",North America
19,Peru,"51,189","+3,817","1,444 ",+100,"15,413","34,332",709,"1,553",44,"406,579","12,331",South America
20,Belgium,"50,509",+242,"8,016 ",+92,"12,441","30,052",646,"4,358",692,"456,194","39,362",Europe
21,India,"49,400","+2,963","1,693 ",+127,"14,142","33,565",,36,1,"1,191,946",864,Asia
22,Netherlands,"41,087",+317,"5,168 ",+86,N/A,"35,669",644,"2,398",302,"235,909","13,768",Europe
23,Ecuador,"31,881",,"1,569 ",,"3,433","26,879",159,"1,807",89,"80,171","4,544",South America
24,Saudi Arabia,"30,251","+1,595",200 ,+9,"5,431","24,620",143,869,6,"376,607","10,818",Asia
25,Switzerland,"30,009",+28,"1,795 ",+11,"25,400","2,814",121,"3,467",207,"286,403","33,092",Europe
26,Portugal,"25,702",+178,"1,074 ",+11,"1,743","22,885",134,"2,521",105,"469,435","46,038",Europe
27,Mexico,"24,905","+1,434","2,271 ",+117,"15,938","6,696",378,193,18,"100,041",776,North America
28,Sweden,"23,216",+495,"2,854 ",+85,"4,074","16,288",435,"2,299",283,"148,500","14,704",Europe
29,Pakistan,"22,049","+1,108",514 ,+38,"5,801","15,734",111,100,2,"222,404","1,007",Asia
30,Chile,"22,016","+1,373",275 ,+5,"10,710","11,031",470,"1,152",14,"222,095","11,618",South America
31,Ireland,"21,983",+211,"1,339 ",+20,"13,386","7,258",93,"4,452",271,"214,761","43,493",Europe
32,Singapore,"19,410",+632,18 ,,"1,519","17,873",24,"3,318",3,"143,919","24,600",Asia
33,Belarus,"18,350",+861,107 ,+4,"3,771","14,472",92,"1,942",11,"211,369","22,369",Europe
34,Qatar,"17,142",+951,12 ,,"1,924","15,206",72,"5,950",4,"109,762","38,098",Asia
35,Israel,"16,289",+43,238 ,+3,"10,465","5,586",89,"1,882",27,"417,100","48,189",Asia
36,Austria,"15,650",+29,606 ,+6,"13,462","1,582",104,"1,738",67,"285,883","31,742",Europe
37,UAE,"15,192",+462,146 ,+9,"3,153","11,893",1,"1,536",15,"1,200,000","121,330",Asia
38,Japan,"15,078",,536 ,,"4,156","10,386",328,119,4,"184,586","1,459",Asia
39,Poland,"14,431",+425,716 ,+18,"4,280","9,435",160,381,19,"394,270","10,418",Europe
40,Romania,"13,837",+325,841 ,+23,"5,454","7,542",244,719,44,"205,842","10,700",Europe
41,Ukraine,"12,697",+366,316 ,+13,"1,875","10,506",167,290,7,"139,759","3,196",Europe
42,Indonesia,"12,071",+484,872 ,+8,"2,197","9,002",,44,3,"121,547",444,Asia
43,Bangladesh,"10,929",+786,183 ,+1,"1,403","9,343",1,66,1,"93,405",567,Asia
44,S. Korea,"10,804",+3,254 ,+2,"9,283","1,267",55,211,5,"640,237","12,488",Asia
