,0,1,2,3,4
0,2018年臺灣汽車總市場排名(不分國產進口),2018年臺灣汽車總市場排名(不分國產進口),2018年臺灣汽車總市場排名(不分國產進口),2018年臺灣汽車總市場排名(不分國產進口),2018年臺灣汽車總市場排名(不分國產進口)
1,排名,品牌/集團,2018總銷量(輛),市佔率,2017總銷量(輛)
2,1,Toyota(含Lexus),124174,28.5,131273
3,2,Mitsubishi/中華,49179,11.3,48211
4,3,Honda,38822,8.9,34071
5,4,裕隆(Nissan、Infiniti),36708,8.4,42630
6,5,Mercedes-Benz,29132,6.7,27932
7,6,Mazda,23722,5.5,22358
8,7,Ford,16697,3.8,20181
9,8,BMW,16284,3.7,18813
10,9,Volkswagen,16257,3.7,13765
11,10,Hyundai,11756,2.7,12003
0,2018年臺灣國產乘用車總銷售量排名(不含商用車),2018年臺灣國產乘用車總銷售量排名(不含商用車),2018年臺灣國產乘用車總銷售量排名(不含商用車),2018年臺灣國產乘用車總銷售量排名(不含商用車),2018年臺灣國產乘用車總銷售量排名(不含商用車)
1,排名,品牌,2018總銷量(輛),市佔率,2017總銷量(輛)
2,1,國瑞(Toyota),69652,36.4,81267
3,2,臺灣本田(Honda),35897,18.8,31612
4,3,裕隆(Nissan),33784,17.7,39242
5,4,中華汽車,19251,10.1,20308
6,5,福特六和(Ford),13360,7,17375
0,2018年臺灣進口乘用車總銷售量排名(不含商用車),2018年臺灣進口乘用車總銷售量排名(不含商用車),2018年臺灣進口乘用車總銷售量排名(不含商用車),2018年臺灣進口乘用車總銷售量排名(不含商用車),2018年臺灣進口乘用車總銷售量排名(不含商用車)
1,排名,品牌,2018總銷量(輛),市佔率,2017總銷量(輛)
2,1,Toyota,33139,17.8,32232
3,2,Mercedes-Benz,28295,15.2,26539
4,3,Mazda,23722,12.7,22358
5,4,Lexus,17807,9.5,14463
6,5,BMW,16284,8.7,18813
0,2018年臺灣汽車總市場,2018年臺灣汽車總市場,2018年臺灣汽車總市場,2018年臺灣汽車總市場,
1,類型,2018總銷量(輛),2017總銷量(輛),成長率,
2,總市場,435131,444626,-2.1%,
3,國產乘用車,191259,216885,-11.8%,
4,進口乘用車,186618,173010,7.9%,
